data_id,massdot_id,description,x1,x2,y1,y2,type,showdesc,restriction,nlanes,yr_1999,yr_2010,backbone_rte,awdt_2019,awdt_2010
i90_eb_010, ,I-90 eastbound between  NY state line and Interchange 1,10,110,95,95,main,0,none,2,1,1,i90_eb,10300,-9999
i90_eb_r_010,R11501,Interchange 3 |(old Interchange 1) |on-ramp from West Stockbridge,85,110,125,95,ramp_on_below,1,none,1,1,1,i90_eb,400,-9999
i90_eb_020, ,I-90 eastbound between Interchanges 3 and 10,110,410,95,95,main,0,none,2,1,1,i90_eb,10700,-9999
i90_eb_r_020,R11502,Interchange 10 |(old Interchange 2) |off-ramp to Lee,410,435,95,125,ramp_off_below,1,none,1,1,1,i90_eb,1800,-9999
i90_eb_030, ,I-90 eastbound between Interchange 10 off- and on-ramps,410,610,95,95,main,0,none,2,1,1,i90_eb,8900,-9999
i90_eb_r_030,R11503,Interchange 10 |(old Interchange2)|on-ramp from Lee,585,610,125,95,ramp_on_below,1,none,1,1,1,i90_eb,4500,-9999
i90_eb_040, ,I-90 eastbound between Interchanges 10 and 41,610,910,95,95,main,0,none,2,1,1,i90_eb,13400,-9999
i90_eb_r_040,R11504,Interchange 41 |(old Interchange 3) |off-ramp to Westfield,910,935,95,125,ramp_off_below,1,none,1,1,1,i90_eb,1400,-9999
i90_eb_050, ,I-90 eastbound between Interchange 41 off- and on-ramps,910,1110,95,95,main,0,none,2,1,1,i90_eb,12000,-9999
i90_eb_r_050,R11505,Interchange 41 |(old Interchange 3)| on-ramp from Westfield,1085,1110,125,95,ramp_on_below,1,none,1,1,1,i90_eb,11500,-9999
i90_eb_060, ,I-90 eastbound between Interchanges 41 and 45,1110,1410,95,95,main,0,none,2,1,1,i90_eb,23500,-9999
i90_eb_r_060,R11506,Interchange 45 |(old Interchange 4) |off-ramp to I-91,1410,1435,95,125,ramp_off_below,1,none,1,1,1,i90_eb,11000,-9999
i90_eb_070, ,I-90 eastbound between Interchange 45 off- and on-ramps,1410,1610,95,95,main,0,none,2,1,1,i90_eb,12500,-9999
i90_eb_r_070,R11507,Interchange 45 |(old Interchange 4) |on-ramp from I-91,1585,1610,125,95,ramp_on_below,1,none,1,1,1,i90_eb,10000,-9999
i90_eb_080, ,I-90 eastbound between Interchanges 45 and 49,1610,1910,95,95,main,0,none,2,1,1,i90_eb,22500,-9999
i90_eb_r_080,R11508,Interchange 49 |(old Interchange 5) |off-ramp to Chicopee,1910,1935,95,125,ramp_off_below,1,none,1,1,1,i90_eb,5000,-9999
i90_eb_090, ,I-90 eastbound between Interchange 49 off- and on-ramps,1910,2110,95,95,main,0,none,2,1,1,i90_eb,17500,-9999
i90_eb_r_090,R11509,Interchange 49 |(old Interchange 5) |on-ramp from Chicopee,2085,2110,125,95,ramp_on_below,1,none,1,1,1,i90_eb,5500,-9999
i90_eb_100, ,I-90 eastbound between Interchanges 49 and 51,2110,2410,95,95,main,0,none,2,1,1,i90_eb,23000,-9999
i90_eb_r_100,R11510,Interchange 51  |(old Interchange 6) |off-ramp to I-291,2410,2435,95,125,ramp_off_below,1,none,1,1,1,i90_eb,5500,-9999
i90_eb_110, ,I-90 eastbound between Interchange 51 off- and on-ramps,2410,2610,95,95,main,0,none,2,1,1,i90_eb,17500,-9999
i90_eb_r_110,R11511,Interchange 51 |(old interchange 6)|on-ramp from I-291,2585,2610,125,95,ramp_on_below,1,none,1,1,1,i90_eb,13500,-9999
i90_eb_120, ,I-90 eastbound between Interchanges 51 and 54,2610,2910,95,95,main,0,none,2,1,1,i90_eb,31000,-9999
i90_eb_r_120,R11512,Interchange 54 |(old Interchange 7) |off-ramp to Ludlow,2910,2935,95,125,ramp_off_below,1,none,1,1,1,i90_eb,6000,-9999
i90_eb_130, ,I-90 eastbound between Interchange 54 off- and on-ramps,2910,3110,95,95,main,0,none,2,1,1,i90_eb,25000,-9999
i90_eb_r_130,R11513,Interchange 54 |(old Interchange 7) |on-ramp from Ludlow,3085,3110,125,95,ramp_on_below,1,none,1,1,1,i90_eb,3000,-9999
i90_eb_140, ,I-90 eastbound between Interchanges 54 and 63,3110,3410,95,95,main,0,none,2,1,1,i90_eb,28000,-9999
i90_eb_r_140,R11514,Interchange 63 |(old Interchange 8) |off-ramp to Palmer,3410,3435,95,125,ramp_off_below,1,none,1,1,1,i90_eb,9000,-9999
i90_eb_150, ,I-90 eastbound between Interchange 63 off- and on-ramps,3410,3610,95,95,main,0,none,2,1,1,i90_eb,19000,-9999
i90_eb_r_150,R11515,Interchange 63 |(old Interchange 8) |on-ramp from Palmer,3585,3610,125,95,ramp_on_below,1,none,1,1,1,i90_eb,4500,-9999
i90_eb_160, ,I-90 eastbound between Interchanges 63 and 78,3610,3910,95,95,main,0,none,2,1,1,i90_eb,23500,-9999
i90_eb_r_160, ,Interchange 78 |(old Interchange 9) |off-ramp to I-84,3885,3910,95,125,ramp_off_below,1,none,1,1,1,i90_eb,2500,-9999
i90_eb_170, ,I-90 eastbound between Interchange 78 off- and on-ramps,3910,4110,95,95,main,0,none,2,1,1,i90_eb,21000,-9999
