data_id,massdot_id,description,x1,x2,y1,y2,type,showdesc,restriction,nlanes,yr_1999,yr_2010,backbone_rte,awdt_2019,awdt_2010
i90_wb_470, ,I-90 westbound |between Interchange 3 |and the NY state line,10,110,120,120,main,0,none,2,1,1,i90_wb,10200,-9999
i90_wb_r_460,R11569,Interchange 3 |(old Interchange 1) |off-ramp to West Stockbridge,110,85,120,90,ramp_off_above,1,none,1,1,1,i90_wb,400,-9999
i90_wb_460, ,I-90 westbound between Interchanges 10 and 3,110,410,120,120,main,0,none,2,1,1,i90_wb,10600,-9999
i90_wb_r_450,R11568,Interchange 10 |(old Interchange 2) |on-ramp from Lee,435,410,90,120,ramp_on_above,1,none,1,1,1,i90_wb,1800,-9999
i90_wb_450, ,I-90 westbound between Interchange 10 off- and on-ramps,410,610,120,120,main,0,none,2,1,1,i90_wb,8800,-9999
i90_wb_r_440,R11567,Interchange 10 |(old Interchange 2) |off-ramp to Lee,610,585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,4600,-9999
i90_wb_440, ,I-90 westbound between Interchanges 41 and 10,610,910,120,120,main,0,none,2,1,1,i90_wb,13400,-9999
i90_wb_r_430,R11566,Interchange 41 |(old Interchange 3) |on-ramp from Westfield,935,910,90,120,ramp_on_above,1,none,1,1,1,i90_wb,1100,-9999
i90_wb_430, ,I-90 westbound between Interchange 41 off- and on-ramps,910,1110,120,120,main,0,none,2,1,1,i90_wb,12300,-9999
i90_wb_r_420,R11565,Interchange 41 |(old Interchange 3) |off-ramp to Westfield,1110,1085,120,90,ramp_off_above,1,none,1,1,1,i90_wb,11700,-9999
i90_wb_420, ,I-90 westbound between Interchanges 45 and 41,1110,1410,120,120,main,0,none,2,1,1,i90_wb,24000,-9999
i90_wb_r_410,R11564,Interchange 45 |(old Interchange 4) |on-ramp from I-91,1435,1410,90,120,ramp_on_above,1,none,1,1,1,i90_wb,11300,-9999
i90_wb_410, ,I-90 westbound between Interchange 45 off- and on-ramps,1410,1610,120,120,main,0,none,2,1,1,i90_wb,12700,-9999
i90_wb_r_400,R11563,Interchange 45 |(old Interchange 4) |off-ramp to I-91,1610,1585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,11500,-9999
i90_wb_400, ,I-90 westbound between Interchanges 49 and 45,1610,1910,120,120,main,0,none,2,1,1,i90_wb,24200,-9999
i90_wb_r_390,R11562,Interchange 49 |(old Interchange 5) |on-ramp from Chicopee,1935,1910,90,120,ramp_on_above,1,none,1,1,1,i90_wb,5200,-9999
i90_wb_390, ,I-90 westbound between Interchange 49 off- and on-ramps,1910,2110,120,120,main,0,none,2,1,1,i90_wb,19000,-9999
i90_wb_r_380,R11561,Interchange 49 |(old Interchange 5) |off-ramp to Chicopee,2110,2085,120,90,ramp_off_above,1,none,1,1,1,i90_wb,5500,-9999
i90_wb_380, ,I-90 westbound between Interchanges 51 and 49,2110,2410,120,120,main,0,none,2,1,1,i90_wb,24500,-9999
i90_wb_r_370,R11560,Interchange 51 |(old Interchange 6) |on-ramp from I-291,2435,2410,90,120,ramp_on_above,1,none,1,1,1,i90_wb,5500,-9999
i90_wb_370, ,I-90 westbound between Interchange 51 off- and on-ramps,2410,2610,120,120,main,0,none,2,1,1,i90_wb,19000,-9999
i90_wb_r_360,R11559,Interchange 51 |(old Interchange 6) |off-ramp to I-291,2610,2585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,13000,-9999
i90_wb_360, ,I-90 westbound between Interchanges 54 and 51,2610,2910,120,120,main,0,none,2,1,1,i90_wb,32000,-9999
i90_wb_r_350,R11558,Interchange 54 |(old Interchange 7) |on-ramp from Ludlow,2935,2910,90,120,ramp_on_above,1,none,1,1,1,i90_wb,6500,-9999
i90_wb_350, ,I-90 westbound between Interchange 54 off- and on-ramps,2910,3110,120,120,main,0,none,2,1,1,i90_wb,25500,-9999
i90_wb_r_340,R11557,Interchange 54 |(old Interchange 7) |off-ramp to Ludlow,3110,3085,120,90,ramp_off_above,1,none,1,1,1,i90_wb,2500,-9999
i90_wb_340, ,I-90 westbound between Interchanges 63 and 54,3110,3410,120,120,main,0,none,2,1,1,i90_wb,28000,-9999
i90_wb_r_330,R11556,Interchange 63 |(old Interchange 8) |on-ramp from Palmer,3435,3410,90,120,ramp_on_above,1,none,1,1,1,i90_wb,8000,-9999
i90_wb_330, ,I-90 westbound between Interchange 63 off- and on-ramps,3410,3610,120,120,main,0,none,2,1,1,i90_wb,20000,-9999
i90_wb_r_320,R11555,Interchange 63 |(old Interchange 8) |off-ramp to Palmer,3610,3585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,3500,-9999
i90_wb_320, ,I-90 westbound between Interchanges 78 and 63,3610,3910,120,120,main,0,none,2,1,1,i90_wb,23500,-9999
i90_wb_r_310, ,Interchange 78 |(old Interchange 9) |on-ramp from I-84,3935,3910,90,120,ramp_on_above,1,none,1,1,1,i90_wb,2500,-9999
i90_wb_310, ,I-90 westbound between Interchange 78 off- and on-ramps,3910,4110,120,120,main,0,none,2,1,1,i90_wb,21000,-9999
i90_wb_r_300, ,Interchange 78 |(old Interchange 9) |off-ramp to I-84,4110,4085,120,90,ramp_off_above,1,none,2,1,1,i90_wb,28000,-9999
i90_wb_300, ,I-90 westbound between Interchanges 90 and 78,4110,4410,120,120,main,0,none,3,1,1,i90_wb,49000,-9999
i90_wb_r_290,R11553,Interchange 90 |(old Interchange 10) |on-ramp from I-290/I-395,4435,4410,90,120,ramp_on_above,1,none,1,1,1,i90_wb,16000,-9999
i90_wb_290, ,I-90 westbound between Interchange 90 off- and on-ramps,4410,4610,120,120,main,0,none,3,1,1,i90_wb,33000,-9999
i90_wb_r_280,R11552,Interchange 90 |(old Interchange 10) |off-ramp to I-290/I-395,4610,4585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,12000,-9999
i90_wb_280, ,I-90 westbound between Interchanges 94 and 90,4610,4910,120,120,main,0,none,3,1,1,i90_wb,45000,-9999
i90_wb_r_270,R11551,Interchange 94 |(old Interchange 10A) |on-ramp from Route 146,4935,4910,90,120,ramp_on_above,1,none,1,1,1,i90_wb,6000,-9999
i90_wb_270, ,I-90 westbound between Interchange 94 off- and on-ramps,4910,5110,120,120,main,0,none,3,1,1,i90_wb,39000,-9999
i90_wb_r_260,R11550,Interchange 94 |(old Interchange 10A) |off-rampto Route 146,5110,5085,120,90,ramp_off_above,1,none,1,1,1,i90_wb,9000,-9999
i90_wb_260, ,I-90 westbound between Interchanges 96 and 94,5110,5410,120,120,main,0,none,3,1,1,i90_wb,48000,-9999
i90_wb_r_250,R11549,Interchange 96 |(old Interchange 11) |on-ramp from Millbury,5435,5410,90,120,ramp_on_above,1,none,1,1,1,i90_wb,3000,-9999
i90_wb_250, ,I-90 westbound between Interchange 96 off- and on-ramps,5410,5610,120,120,main,0,none,3,1,1,i90_wb,45000,-9999
i90_wb_r_240,R11548,Interchange 96 |(old Interchange 11) |off-ramp to Millbury,5610,5585,120,90,ramp_off_above,1,none,1,1,1,i90_wb,6000,-9999
i90_wb_240, ,I-90 westbound between Interchanges 107 and 96,5610,5910,120,120,main,0,none,3,1,1,i90_wb,51000,49500
i90_wb_r_230,R11547,Interchange 107 |(old Interchange 11A) |on-ramp from I-495,5935,5910,90,120,ramp_on_above,1,none,1,1,1,i90_wb,17000,15000
i90_wb_230, ,I-90 westbound between Interchange 107 off- and on-ramps,5910,6210,120,120,main,0,none,3,1,1,i90_wb,34000,34500
i90_wb_r_220,R11546,Interchange 107 |(old Interchange 11A) |off-ramp to I-495,6210,6185,120,90,ramp_off_above,1,none,2,1,1,i90_wb,19500,20000
i90_wb_220, ,I-90 westbound between Interchanges 111 and 107,6210,6410,120,120,main,0,none,3,1,1,i90_wb,53500,54500
